x,y,z,t,a,d,s
0,0,1.35,4.5,0,0,0
-0.25,0.75,1.25,3,0,0,0
-0.25,0.75,1.05,1,0,0,0
-0.25,0.75,0.85,2,0,0,0
-0.25,1.25,0.85,3,0,0,0
-0.25,1.25,1.05,1,0,0,0
-0.25,1.25,1.25,1.5,0,0,0
-0.25,1.75,1.25,3,0,0,0
-0.25,1.75,1.05,1,0,0,0
-0.25,1.75,0.85,2,0,0,0
-0.25,2.75,0.85,4,0,0,0
1.75,2.75,0.85,7,0,0,0
1.75,1.75,0.85,5,0,0,0
1.75,1.25,0.85,3.5,0,0,0
1.75,0.75,0.85,3.5,0,0,0
1.75,0.75,1.05,1,0,0,0
1.75,0.75,1.25,2,0,0,0
1.75,1.25,1.25,3.5,0,0,0
1.75,1.75,1.25,3.5,0,0,0
1.75,2.75,1.25,4.5,0,0,0
3.7,2.75,1.25,8.5,0,0,0
3.7,1.75,1.25,3.5,0,0,0
3.7,1.25,1.25,3,0,0,0
3.7,0.75,1.25,3.5,0,0,0
3.7,0.75,1.05,1,0,0,0
3.7,0.75,0.85,2,0,0,0
3.7,1.25,0.85,3.5,0,0,0
3.7,1.75,0.85,3.5,0,0,0
3.5,2.5,0.85,3,0,0,0
